,City,State,Country,location
205,Lakewood,WA,USA,"Lakewood,WA,USA"
206,Mount Pleasant,SC,USA,"Mount Pleasant,SC,USA"
207,Las Cruces,NM,USA,"Las Cruces,NM,USA"
208,Princeton,NJ,USA,"Princeton,NJ,USA"
209,Carlsbad,CA,USA,"Carlsbad,CA,USA"
210,Emerald Isle,NC,USA,"Emerald Isle,NC,USA"
211,Downey,CA,USA,"Downey,CA,USA"
212,Panama City,FL,USA,"Panama City,FL,USA"
213,Deerfield,NY,USA,"Deerfield,NY,USA"
214,Aiken,SC,USA,"Aiken,SC,USA"
215,Powell,WY,USA,"Powell,WY,USA"
216,Bandon,OR,USA,"Bandon,OR,USA"
217,Algoma,WI,USA,"Algoma,WI,USA"
218,Carson,WA,USA,"Carson,WA,USA"
219,Standish,CA,USA,"Standish,CA,USA"
220,Bend,OR,USA,"Bend,OR,USA"
221,Isleton,CA,USA,"Isleton,CA,USA"
222,Conowingo,MD,USA,"Conowingo,MD,USA"
223,Ocean City,,USA,"Ocean City,USA"
224,North haven,CT,USA,"North haven,CT,USA"
225,Middle Village,NY,USA,"Middle Village,NY,USA"
226,Fort McCoy,FL,USA,"Fort McCoy,FL,USA"
227,Albany,NY,USA,"Albany,NY,USA"
228,Panama City,FL,USA,"Panama City,FL,USA"
229,Greenwood,IN,USA,"Greenwood,IN,USA"
230,Big Horn Mountains,WY,USA,"Big Horn Mountains,WY,USA"
231,Deadhorse,AK,USA,"Deadhorse,AK,USA"
232,Mountlake Terrace,WA,USA,"Mountlake Terrace,WA,USA"
233,Blue Springs,NE,USA,"Blue Springs,NE,USA"
234,Irvington,AL,USA,"Irvington,AL,USA"
235,Las Vegas,NV,USA,"Las Vegas,NV,USA"
236,Oroville,CA,USA,"Oroville,CA,USA"
237,Sanford,FL,USA,"Sanford,FL,USA"
238,Bristol,VA,USA,"Bristol,VA,USA"
239,Olocau (Spain),,Spain,"Olocau (Spain),Spain"
240,Washington,CT,USA,"Washington,CT,USA"
241,Brule,WI,USA,"Brule,WI,USA"
242,Jacksonville,FL,USA,"Jacksonville,FL,USA"
243,Venral,UT,USA,"Venral,UT,USA"
244,Mount Joy,PA,USA,"Mount Joy,PA,USA"
245,Telluride,CO,USA,"Telluride,CO,USA"
246,Livermore,CO,USA,"Livermore,CO,USA"
247,Council Bluffs,IA,USA,"Council Bluffs,IA,USA"
248,Newton,KS,USA,"Newton,KS,USA"
249,Dunkerton,IA,USA,"Dunkerton,IA,USA"
250,Reno,NV,USA,"Reno,NV,USA"
251,Swansea,MA,USA,"Swansea,MA,USA"
252,Cabot,AR,USA,"Cabot,AR,USA"
253,Chula Vista,CA,USA,"Chula Vista,CA,USA"
254,Rector,AR,USA,"Rector,AR,USA"
255,Porterville,CA,USA,"Porterville,CA,USA"
256,Appeleton,WI,USA,"Appeleton,WI,USA"
257,Appeleton,WI,USA,"Appeleton,WI,USA"
258,Waterloo,IL,USA,"Waterloo,IL,USA"
259,Jonesboro,AR,USA,"Jonesboro,AR,USA"
260,Beaver Dam (north of),WI,USA,"Beaver Dam (north of),WI,USA"
261,Los Angeles,CA,USA,"Los Angeles,CA,USA"
262,Nuriootpa (Australia),,Australia,"Nuriootpa (Australia),Australia"
264,Maxwell,CA,USA,"Maxwell,CA,USA"
265,Jasper,AR,USA,"Jasper,AR,USA"
266,Jasper,,USA,"Jasper,USA"
267,Phoenix,AZ,USA,"Phoenix,AZ,USA"
268,Canon City,CO,USA,"Canon City,CO,USA"
269,Wellston,OH,USA,"Wellston,OH,USA"
270,Aurora,CO,USA,"Aurora,CO,USA"
271,Jackson,OH,USA,"Jackson,OH,USA"
272,Los Lunas,NM,USA,"Los Lunas,NM,USA"
273,Trinidad,CO,USA,"Trinidad,CO,USA"
274,Chandler,AZ,USA,"Chandler,AZ,USA"
275,Grand Junction,CO,USA,"Grand Junction,CO,USA"
276,Ordway,CO,USA,"Ordway,CO,USA"
277,Many Farms,AZ,USA,"Many Farms,AZ,USA"
278,Albuquerque,NM,USA,"Albuquerque,NM,USA"
279,Along HWY 550 Near Chaco Canyon,NM,USA,"Along HWY 550 Near Chaco Canyon,NM,USA"
280,Riverside,CA,USA,"Riverside,CA,USA"
281,Jasper,AR,USA,"Jasper,AR,USA"
282,Jasper,AR,USA,"Jasper,AR,USA"
283,Patterson,CA,USA,"Patterson,CA,USA"
284,Jonesboro,AR,USA,"Jonesboro,AR,USA"
285,Issaquah,WA,USA,"Issaquah,WA,USA"
286,Newburgh,IN,USA,"Newburgh,IN,USA"
287,Windsor Heights,IA,USA,"Windsor Heights,IA,USA"
288,Bristolville,OH,USA,"Bristolville,OH,USA"
289,Boulder City,NV,USA,"Boulder City,NV,USA"
290,Cambridge,OH,USA,"Cambridge,OH,USA"
291,Phillipsburg,KS,USA,"Phillipsburg,KS,USA"
292,Danielson,CT,USA,"Danielson,CT,USA"
293,Northbrook,IL,USA,"Northbrook,IL,USA"
294,Wheat Ridge,CO,USA,"Wheat Ridge,CO,USA"
295,Palm Coast,FL,USA,"Palm Coast,FL,USA"
296,Morro Bay,CA,USA,"Morro Bay,CA,USA"
297,Morro Bay,CA,USA,"Morro Bay,CA,USA"
298,Saint Augustine,FL,USA,"Saint Augustine,FL,USA"
299,Fairfield Bay,AR,USA,"Fairfield Bay,AR,USA"
300,Council Bluffs,IA,USA,"Council Bluffs,IA,USA"
301,Trenton (abovd),NJ,USA,"Trenton (abovd),NJ,USA"
302,Patterson,CA,USA,"Patterson,CA,USA"
303,Carroll,OH,USA,"Carroll,OH,USA"
304,Jasper,FL,USA,"Jasper,FL,USA"
305,Jacksonville,FL,USA,"Jacksonville,FL,USA"
306,Bethlehem,PA,USA,"Bethlehem,PA,USA"
307,Spencer,MA,USA,"Spencer,MA,USA"
308,Three Springs,PA,USA,"Three Springs,PA,USA"
309,Ozark,AR,USA,"Ozark,AR,USA"
310,Marietta,GA,USA,"Marietta,GA,USA"
311,North Chelmsford,MA,USA,"North Chelmsford,MA,USA"
312,Orlando,FL,USA,"Orlando,FL,USA"
313,Miami,FL,USA,"Miami,FL,USA"
314,Trenton,FL,USA,"Trenton,FL,USA"
315,Coral Springs,FL,USA,"Coral Springs,FL,USA"
316,St Augustine,FL,USA,"St Augustine,FL,USA"
317,Redlands,FL,USA,"Redlands,FL,USA"
318,Mastic Beach,NY,USA,"Mastic Beach,NY,USA"
319,Stuart,FL,USA,"Stuart,FL,USA"
320,Sebastian Inlet,FL,USA,"Sebastian Inlet,FL,USA"
321,Naples,FL,USA,"Naples,FL,USA"
322,Atlantic Ocean,,Cuba/Florida (between),"Atlantic Ocean,Cuba/Florida (between)"
323,Rourkela (India),,India,"Rourkela (India),India"
324,Longview,WA,USA,"Longview,WA,USA"
325,St. Thomas (USVI),,US Virgin Islands,"St. Thomas (USVI),US Virgin Islands"
326,Staten Island,NY,USA,"Staten Island,NY,USA"
327,Carroll,OH,USA,"Carroll,OH,USA"
328,Colorado Springs,CO,USA,"Colorado Springs,CO,USA"
329,Apple Valley,CA,USA,"Apple Valley,CA,USA"
330,M Fort Myers,FL,USA,"M Fort Myers,FL,USA"
331,Mountlake Terrace,WA,USA,"Mountlake Terrace,WA,USA"
332,Mountlake Terrace,WA,USA,"Mountlake Terrace,WA,USA"
333,Portland,OR,USA,"Portland,OR,USA"
334,Show Low,AZ,USA,"Show Low,AZ,USA"
335,Henderson,TN,USA,"Henderson,TN,USA"
336,Grand Junction,CO,USA,"Grand Junction,CO,USA"
337,frankston melbourne,,Australia,"frankston melbourne,Australia"
338,Independence,MO,USA,"Independence,MO,USA"
339,Georgetown,TX,USA,"Georgetown,TX,USA"
340,Alden Williams,IA,USA,"Alden Williams,IA,USA"
341,Garrettsville,OH,USA,"Garrettsville,OH,USA"
342,Visalia,CA,USA,"Visalia,CA,USA"
343,Phoenix,AZ,USA,"Phoenix,AZ,USA"
344,Miami,FL,USA,"Miami,FL,USA"
345,Los angeles,CA,USA,"Los angeles,CA,USA"
346,Reno,NV,USA,"Reno,NV,USA"
347,Lehigh Acres,FL,USA,"Lehigh Acres,FL,USA"
348,Miami,FL,USA,"Miami,FL,USA"
349,Volcan (Republic of Panama),,Republic of Panama,"Volcan (Republic of Panama),Republic of Panama"
350,Oaklandon,IN,USA,"Oaklandon,IN,USA"
351,Garretson,SD,USA,"Garretson,SD,USA"
352,Edmonds,WA,USA,"Edmonds,WA,USA"
353,Bellevue,NE,USA,"Bellevue,NE,USA"
354,Ponte Vedra Beach,FL,USA,"Ponte Vedra Beach,FL,USA"
355,Grand Junction,CO,USA,"Grand Junction,CO,USA"
356,Rochester,NY,USA,"Rochester,NY,USA"
357,Estes Park,CO,USA,"Estes Park,CO,USA"
358,Pittsfield,MA,USA,"Pittsfield,MA,USA"
359,Slippery Rock,PA,USA,"Slippery Rock,PA,USA"
360,Belgrade,MT,USA,"Belgrade,MT,USA"
361,Kerrville,TX,USA,"Kerrville,TX,USA"
362,Carmel,NY,USA,"Carmel,NY,USA"
363,Garrettsville,OH,USA,"Garrettsville,OH,USA"
364,Norris City,IL,USA,"Norris City,IL,USA"
365,Staten Island,NY,USA,"Staten Island,NY,USA"
366,Yauco (Puerto Rico),,Puerto Rico,"Yauco (Puerto Rico),Puerto Rico"
367,In flight between Tampa and Newark,,USA,"In flight between Tampa and Newark,USA"
368,Idalgashinna (Sabaragamuwa)(Sri Lanka),,Sri Lanka,"Idalgashinna (Sabaragamuwa)(Sri Lanka),Sri Lanka"
369,Istanbul (Turkey),,Turkey,"Istanbul (Turkey),Turkey"
370,Bude (UK/England),,United Kingdom,"Bude (UK/England),United Kingdom"
371,San Leandro,CA,USA,"San Leandro,CA,USA"
372,Bridgend (UK/Wales),YT,United Kingdom,"Bridgend (UK/Wales),YT,United Kingdom"
373,Thornwood,NY,USA,"Thornwood,NY,USA"
374,Cambridge,OH,USA,"Cambridge,OH,USA"
375,Burlington,KY,USA,"Burlington,KY,USA"
376,Chennai (India),,Chennai. Tamil Nadu,"Chennai (India),Chennai. Tamil Nadu"
377,Mobile,AL,USA,"Mobile,AL,USA"
378,Keller,GA,USA,"Keller,GA,USA"
379,Grand Junction,CO,USA,"Grand Junction,CO,USA"
380,Sherman,TX,USA,"Sherman,TX,USA"
381,Willowspring,NC,USA,"Willowspring,NC,USA"
382,Lewisville,NC,USA,"Lewisville,NC,USA"
383,Phoenix,AZ,USA,"Phoenix,AZ,USA"
384,Los Lunas,,USA,"Los Lunas,USA"
385,Berlin,MA,USA,"Berlin,MA,USA"
386,Bluegrass,IA,USA,"Bluegrass,IA,USA"
387,Fairfield,IA,USA,"Fairfield,IA,USA"
388,Kennesaw,GA,USA,"Kennesaw,GA,USA"
389,Libby,MT,USA,"Libby,MT,USA"
390,Ocala,FL,USA,"Ocala,FL,USA"
391,Bangalore (India),Karnataka,India,"Bangalore (India),Karnataka,India"
392,Dunnellon,FL,USA,"Dunnellon,FL,USA"
393,Laurel Springs,NJ,USA,"Laurel Springs,NJ,USA"
394,Port Angeles,WA,USA,"Port Angeles,WA,USA"
395,Newburgh,IN,USA,"Newburgh,IN,USA"
396,Dixmont,ME,USA,"Dixmont,ME,USA"
397,Cambridge,OH,USA,"Cambridge,OH,USA"
398,Audubon,NJ,USA,"Audubon,NJ,USA"
399,Mt. Vernon,IN,USA,"Mt. Vernon,IN,USA"
400,Grand Junction,CO,USA,"Grand Junction,CO,USA"
401,Haifa (Israel),,Israel\occupied palestine,"Haifa (Israel),Israel\occupied palestine"
402,St. Francisville,IL,USA,"St. Francisville,IL,USA"
403,Oceanside,CA,USA,"Oceanside,CA,USA"
404,Le Roy,NY,USA,"Le Roy,NY,USA"
405,Hopkinsville,KY,USA,"Hopkinsville,KY,USA"
406,Maidens,VA,USA,"Maidens,VA,USA"
407,Holland,OH,USA,"Holland,OH,USA"
408,Central,SC,USA,"Central,SC,USA"
409,Santa Monica,CA,USA,"Santa Monica,CA,USA"
410,Littleville,AL,USA,"Littleville,AL,USA"
411,London,KY,USA,"London,KY,USA"
412,Spencerville,IN,USA,"Spencerville,IN,USA"
413,Henderson,NV,USA,"Henderson,NV,USA"
414,Coralville,IA,USA,"Coralville,IA,USA"
415,Leland,NC,USA,"Leland,NC,USA"
416,Vero beach,FL,USA,"Vero beach,FL,USA"
417,Newburgh,IN,USA,"Newburgh,IN,USA"
418,Seekonk/Pawtucket Line,RI,USA,"Seekonk/Pawtucket Line,RI,USA"
419,Portland,OR,USA,"Portland,OR,USA"
420,Grand Junction,CO,USA,"Grand Junction,CO,USA"
421,Callahan,FL,USA,"Callahan,FL,USA"
422,Royal Palm Beach,FL,USA,"Royal Palm Beach,FL,USA"
423,Toronto (Canada),ON,Canada,"Toronto (Canada),ON,Canada"
424,Philadelphia (northeast),PA,USA,"Philadelphia (northeast),PA,USA"
425,Cambridge,OH,USA,"Cambridge,OH,USA"
426,duluth,MN,USA,"duluth,MN,USA"
427,Atkins,IA,USA,"Atkins,IA,USA"
428,Lincoln,NE,USA,"Lincoln,NE,USA"
429,Farmington Hills,MI,USA,"Farmington Hills,MI,USA"
430,Whiteriver,AZ,USA,"Whiteriver,AZ,USA"
431,Evansville,IN,USA,"Evansville,IN,USA"
432,Evansville,IN,USA,"Evansville,IN,USA"
433,Fairford,MB,Canada,"Fairford,MB,Canada"
434,Booneville,MS,USA,"Booneville,MS,USA"
435,Lewiston,MI,USA,"Lewiston,MI,USA"
436,Cedar Rapids,IA,USA,"Cedar Rapids,IA,USA"
437,Richmond,TX,USA,"Richmond,TX,USA"
438,Evansville,IN,USA,"Evansville,IN,USA"
439,Tucumcari,NM,USA,"Tucumcari,NM,USA"
440,Kalispell,MT,USA,"Kalispell,MT,USA"
441,,AL,USA,"AL,USA"
442,Marshall,WI,USA,"Marshall,WI,USA"
443,Wahiawa,HI,USA,"Wahiawa,HI,USA"
444,Wahiawa,HI,USA,"Wahiawa,HI,USA"
445,League City,TX,USA,"League City,TX,USA"
446,Liberty,TX,USA,"Liberty,TX,USA"
447,Abilene,TX,USA,"Abilene,TX,USA"
448,Helotes,TX,USA,"Helotes,TX,USA"
449,Comfort,TX,USA,"Comfort,TX,USA"
450,Sugar Land,TX,USA,"Sugar Land,TX,USA"
451,SAN ANTONIO,TX,USA,"SAN ANTONIO,TX,USA"
452,Live Oak,TX,USA,"Live Oak,TX,USA"
453,San Marcos,TX,USA,"San Marcos,TX,USA"
454,Mc Gregor,TX,USA,"Mc Gregor,TX,USA"
455,Crowley,LA,USA,"Crowley,LA,USA"
456,San antonio,TX,USA,"San antonio,TX,USA"
457,Athens,NY,USA,"Athens,NY,USA"
458,Vicksburg,MS,USA,"Vicksburg,MS,USA"
459,Dickinson,TX,USA,"Dickinson,TX,USA"
460,Orange County,CA,USA,"Orange County,CA,USA"
461,Murfreesboro,TN,USA,"Murfreesboro,TN,USA"
462,Hazen,AR,USA,"Hazen,AR,USA"
463,Fair Oaks Ranch,TX,USA,"Fair Oaks Ranch,TX,USA"
464,Hico,TX,USA,"Hico,TX,USA"
465,Bay City,TX,USA,"Bay City,TX,USA"
466,Ramona,CA,USA,"Ramona,CA,USA"
467,Mission viejo,CA,USA,"Mission viejo,CA,USA"
468,Farmington Hills,MI,USA,"Farmington Hills,MI,USA"
469,stratham,NH,USA,"stratham,NH,USA"
470,Jal,NM,USA,"Jal,NM,USA"
471,Katy,TX,USA,"Katy,TX,USA"
472,Waverly,GA,USA,"Waverly,GA,USA"
473,Sapelo Island,GA,USA,"Sapelo Island,GA,USA"
474,Supply,NC,USA,"Supply,NC,USA"
475,Waretown,NJ,USA,"Waretown,NJ,USA"
476,Lake Wales,FL,USA,"Lake Wales,FL,USA"
477,Los Angeles,CA,USA,"Los Angeles,CA,USA"
478,Sonoma,CA,USA,"Sonoma,CA,USA"
479,Albuquerque,NM,USA,"Albuquerque,NM,USA"
